service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20150907,20151206
2,1,1,1,1,1,1,1,20150907,20151206
4,0,0,0,0,1,1,0,20150907,20151206
8,1,1,1,1,1,0,0,20150907,20151206
9,1,1,1,1,1,0,0,20150907,20151206
10,0,0,0,0,1,0,0,20150907,20151206
13,0,0,0,0,0,0,0,20150907,20151206
14,0,0,0,0,0,1,0,20150907,20151206
15,1,1,1,1,1,0,0,20150907,20151206
19,0,0,1,0,0,0,0,20150907,20151206
20,0,0,0,0,0,0,1,20150907,20151206
21,0,0,0,0,0,0,1,20150907,20151206
24,0,0,0,1,1,0,0,20150907,20151206
25,0,0,0,1,0,0,0,20150907,20151206
28,0,0,0,0,0,0,0,20150907,20151206
29,0,0,0,0,0,0,0,20150907,20151206
32,1,1,1,1,1,0,0,20150907,20151206
33,0,0,0,0,0,1,1,20150907,20151206
34,0,1,0,0,0,0,0,20150907,20151206
35,0,0,0,1,0,0,0,20150907,20151206
36,0,0,0,0,1,0,0,20150907,20151206
37,1,0,0,0,0,0,0,20150907,20151206
38,1,1,1,1,0,0,0,20150907,20151206
39,0,1,1,1,1,0,0,20150907,20151206
40,1,1,1,0,1,0,0,20150907,20151206
41,1,0,1,1,1,0,0,20150907,20151206
42,1,1,0,1,1,0,0,20150907,20151206
43,1,1,1,1,0,0,0,20150907,20151206
44,0,1,1,1,1,0,0,20150907,20151206
45,1,1,1,0,1,0,0,20150907,20151206
46,1,0,1,1,1,0,0,20150907,20151206
47,1,1,0,1,1,0,0,20150907,20151206
48,0,0,0,0,0,1,0,20150907,20151206
49,0,0,0,0,0,0,0,20150907,20151206
50,1,1,1,1,1,0,0,20150907,20151206
53,1,1,1,0,0,0,0,20150907,20151206
54,0,0,0,0,0,0,0,20150907,20151206
55,0,0,0,0,0,0,0,20150907,20151206
56,0,0,0,0,0,1,0,20150907,20151206
57,0,0,0,0,0,0,1,20150907,20151206
58,1,1,1,1,1,0,0,20150907,20151206
59,0,0,0,0,0,0,0,20150907,20151206
60,1,1,1,1,0,0,0,20150907,20151206
61,1,0,1,0,1,0,0,20150907,20151206
62,0,1,0,1,0,0,0,20150907,20151206
66,0,0,0,0,0,0,0,20150907,20151206
68,1,1,1,0,1,0,0,20150907,20151206
69,0,0,0,0,0,0,0,20150907,20151206
70,1,0,1,1,1,0,0,20150907,20151206
71,1,0,0,0,0,0,0,20150907,20151206
72,0,1,0,0,0,0,0,20150907,20151206
73,0,0,1,0,0,0,0,20150907,20151206
75,0,0,0,0,0,0,0,20150907,20151206
80,1,0,0,0,1,0,0,20150907,20151206
81,0,1,1,1,0,0,0,20150907,20151206
82,0,0,0,0,0,0,0,20150907,20151206
83,0,0,0,0,0,0,0,20150907,20151206
84,0,0,0,0,0,0,0,20150907,20151206
86,0,0,0,0,0,0,0,20150907,20151206
87,1,1,1,1,1,0,0,20150907,20151206
88,0,0,0,0,0,0,1,20150907,20151206
94,0,0,0,0,0,0,0,20150907,20151206
98,1,1,1,1,1,0,0,20150907,20151206
99,0,0,0,0,0,0,1,20150907,20151206
127,0,0,0,0,0,1,0,20150907,20151206
128,0,0,0,0,0,0,0,20150907,20151206
134,0,0,0,0,0,0,0,20150907,20151206
136,1,0,0,0,0,0,0,20150907,20151206
137,0,1,0,0,0,0,0,20150907,20151206
138,0,0,1,0,0,0,0,20150907,20151206
139,0,0,0,1,0,0,0,20150907,20151206
140,0,0,0,0,1,0,0,20150907,20151206
141,0,0,0,0,0,1,0,20150907,20151206
142,0,0,0,0,0,0,1,20150907,20151206
143,0,0,0,0,0,0,0,20150907,20151206
148,1,0,0,0,0,0,0,20150907,20151206
149,0,1,0,0,0,0,0,20150907,20151206
150,0,0,1,0,0,0,0,20150907,20151206
151,0,0,0,1,0,0,0,20150907,20151206
152,0,0,0,0,1,0,0,20150907,20151206
153,0,0,0,0,0,1,0,20150907,20151206
154,0,0,0,0,0,0,1,20150907,20151206
155,0,0,0,0,0,0,1,20150907,20151206
164,0,0,0,0,0,0,0,20150907,20151206
165,0,0,0,0,0,0,0,20150907,20151206
166,1,0,0,0,0,0,0,20150907,20151206
167,0,0,1,0,0,0,0,20150907,20151206
168,0,0,0,0,1,0,0,20150907,20151206
169,0,0,0,0,0,0,0,20150907,20151206
173,0,0,0,0,0,0,0,20150907,20151206
177,0,0,0,0,0,0,0,20150907,20151206
178,0,0,0,1,0,0,0,20150907,20151206
179,0,0,0,1,0,0,0,20150907,20151206
180,1,1,1,1,1,0,0,20150907,20151206
181,0,0,0,0,0,0,0,20150907,20151206
182,0,0,0,0,0,0,0,20150907,20151206
183,0,0,0,0,0,1,1,20150907,20151206
184,0,0,0,0,0,0,1,20150907,20151206
14_39179,0,0,0,0,0,1,0,20150907,20150919
32_39179,1,1,1,1,1,0,0,20150907,20150919
14_39180,0,0,0,0,0,1,0,20150907,20150919
32_39180,1,1,1,1,1,0,0,20150907,20150919
14_39185,0,0,0,0,0,1,0,20150907,20150919
21_39185,0,0,0,0,0,0,1,20150907,20150919
32_39185,1,1,1,1,1,0,0,20150907,20150919
14_39315,0,0,0,0,0,1,0,20150907,20150926
21_39315,0,0,0,0,0,0,1,20150907,20150926
32_39315,1,1,1,1,1,0,0,20150907,20150926
15_40859,1,1,1,1,1,0,0,20150907,20150926
15_40860,1,1,1,1,1,0,0,20150907,20150926
14_40863,0,0,0,0,0,1,0,20150907,20150926
21_40863,0,0,0,0,0,0,1,20150907,20150926
32_40863,1,1,1,1,1,0,0,20150907,20150926
57_40863,0,0,0,0,0,0,1,20150907,20150926
15_41125,1,1,1,1,1,0,0,20150907,20150912
15_41129,1,1,1,1,1,0,0,20150907,20150912
15_41141,1,1,1,1,1,0,0,20150907,20150912
15_41173,1,1,1,1,1,0,0,20150907,20150912
32_41543,1,1,1,1,1,0,0,20150907,20150926
32_41544,1,1,1,1,1,0,0,20150907,20150926
15_41546,1,1,1,1,1,0,0,20150907,20150926
32_41549,1,1,1,1,1,0,0,20150907,20150926
32_41550,1,1,1,1,1,0,0,20150907,20150926
14_41610,0,0,0,0,0,1,0,20150907,20150926
32_41611,1,1,1,1,1,0,0,20150907,20150926
14_41612,0,0,0,0,0,1,0,20150907,20150926
32_41612,1,1,1,1,1,0,0,20150907,20150926
21_41613,0,0,0,0,0,0,1,20150907,20150926
32_41613,1,1,1,1,1,0,0,20150907,20150926
15_41724,1,1,1,1,1,0,0,20150907,20150912
15_41728,1,1,1,1,1,0,0,20150907,20150912
15_41729,1,1,1,1,1,0,0,20150907,20150912
13_41992,0,0,0,0,0,0,0,20150907,20150926
14_41992,0,0,0,0,0,1,0,20150907,20150926
21_41992,0,0,0,0,0,0,1,20150907,20150926
32_41992,1,1,1,1,1,0,0,20150907,20150926
14_41993,0,0,0,0,0,1,0,20150907,20150926
21_41993,0,0,0,0,0,0,1,20150907,20150926
32_41993,1,1,1,1,1,0,0,20150907,20150926
57_41993,0,0,0,0,0,0,1,20150907,20150926
15_41994,1,1,1,1,1,0,0,20150907,20150926
15_42420,1,1,1,1,1,0,0,20150907,20150912
15_42444,1,1,1,1,1,0,0,20150907,20150912
15_42502,1,1,1,1,1,0,0,20150907,20150912
15_42504,1,1,1,1,1,0,0,20150907,20150912
14_42536,0,0,0,0,0,1,0,20150907,20150926
32_42536,1,1,1,1,1,0,0,20150907,20150926
13_42537,0,0,0,0,0,0,0,20150907,20150926
14_42537,0,0,0,0,0,1,0,20150907,20150926
21_42537,0,0,0,0,0,0,1,20150907,20150926
32_42537,1,1,1,1,1,0,0,20150907,20150926
15_42538,1,1,1,1,1,0,0,20150907,20150926
14_42808,0,0,0,0,0,1,0,20150907,20150926
21_42808,0,0,0,0,0,0,1,20150907,20150926
32_42808,1,1,1,1,1,0,0,20150907,20150926
15_42809,1,1,1,1,1,0,0,20150907,20150926
14_42811,0,0,0,0,0,1,0,20150907,20150926
21_42811,0,0,0,0,0,0,1,20150907,20150926
32_42811,1,1,1,1,1,0,0,20150907,20150926
19_42812,0,0,1,0,0,0,0,20150907,20150926
42_42812,1,1,0,1,1,0,0,20150907,20150926
15_42824,1,1,1,1,1,0,0,20150907,20150912
13_42852,0,0,0,0,0,0,0,20150907,20150926
14_42852,0,0,0,0,0,1,0,20150907,20150926
32_42852,1,1,1,1,1,0,0,20150907,20150926
14_42853,0,0,0,0,0,1,0,20150907,20150926
21_42853,0,0,0,0,0,0,1,20150907,20150926
32_42853,1,1,1,1,1,0,0,20150907,20150926
15_42854,1,1,1,1,1,0,0,20150907,20150926
13_43074,0,0,0,0,0,0,0,20150907,20150912
14_43074,0,0,0,0,0,1,0,20150907,20150912
20_43074,0,0,0,0,0,0,1,20150907,20150912
32_43074,1,1,1,1,1,0,0,20150907,20150912
14_44020,0,0,0,0,0,1,0,20150927,20151206
21_44020,0,0,0,0,0,0,1,20150927,20151206
32_44020,1,1,1,1,1,0,0,20150927,20151206
15_44021,1,1,1,1,1,0,0,20150927,20151206
14_44022,0,0,0,0,0,1,0,20150927,20151206
21_44022,0,0,0,0,0,0,1,20150927,20151206
32_44022,1,1,1,1,1,0,0,20150927,20151206
19_44023,0,0,1,0,0,0,0,20150927,20151206
42_44023,1,1,0,1,1,0,0,20150927,20151206
13_44024,0,0,0,0,0,0,0,20150927,20151206
14_44024,0,0,0,0,0,1,0,20150927,20151206
32_44024,1,1,1,1,1,0,0,20150927,20151206
32_44025,1,1,1,1,1,0,0,20150927,20151206
32_44026,1,1,1,1,1,0,0,20150927,20151206
14_44027,0,0,0,0,0,1,0,20150927,20151206
21_44027,0,0,0,0,0,0,1,20150927,20151206
32_44027,1,1,1,1,1,0,0,20150927,20151206
15_44028,1,1,1,1,1,0,0,20150927,20151206
15_44029,1,1,1,1,1,0,0,20150927,20151206
14_44030,0,0,0,0,0,1,0,20150927,20151206
32_44030,1,1,1,1,1,0,0,20150927,20151206
32_44031,1,1,1,1,1,0,0,20150927,20151206
32_44032,1,1,1,1,1,0,0,20150927,20151206
13_44033,0,0,0,0,0,0,0,20150927,20151206
14_44033,0,0,0,0,0,1,0,20150927,20151206
21_44033,0,0,0,0,0,0,1,20150927,20151206
32_44033,1,1,1,1,1,0,0,20150927,20151206
15_44034,1,1,1,1,1,0,0,20150927,20151206
14_44035,0,0,0,0,0,1,0,20150927,20151206
32_44036,1,1,1,1,1,0,0,20150927,20151206
14_44037,0,0,0,0,0,1,0,20150927,20151206
32_44037,1,1,1,1,1,0,0,20150927,20151206
21_44038,0,0,0,0,0,0,1,20150927,20151206
32_44038,1,1,1,1,1,0,0,20150927,20151206
15_44039,1,1,1,1,1,0,0,20150927,20151206
14_44040,0,0,0,0,0,1,0,20150927,20151206
21_44040,0,0,0,0,0,0,1,20150927,20151206
32_44040,1,1,1,1,1,0,0,20150927,20151206
14_44041,0,0,0,0,0,1,0,20150927,20151206
21_44041,0,0,0,0,0,0,1,20150927,20151206
32_44041,1,1,1,1,1,0,0,20150927,20151206
15_44042,1,1,1,1,1,0,0,20150927,20151206
15_44043,1,1,1,1,1,0,0,20150927,20151206
14_44044,0,0,0,0,0,1,0,20150927,20151206
21_44044,0,0,0,0,0,0,1,20150927,20151206
32_44044,1,1,1,1,1,0,0,20150927,20151206
13_44045,0,0,0,0,0,0,0,20150927,20151206
14_44045,0,0,0,0,0,1,0,20150927,20151206
21_44045,0,0,0,0,0,0,1,20150927,20151206
32_44045,1,1,1,1,1,0,0,20150927,20151206
15_44409,1,1,1,1,1,0,0,20150913,20151206
15_44410,1,1,1,1,1,0,0,20150913,20151206
13_44411,0,0,0,0,0,0,0,20150913,20151206
