service_id,date,exception_type
1,20150928,1
4,20150911,2
4,20150912,2
4,20150918,2
4,20150919,2
4,20150925,2
4,20150926,2
8,20150907,2
8,20150908,2
8,20150909,2
8,20150910,2
8,20150911,2
8,20150914,2
8,20150915,2
8,20150916,2
8,20150917,2
8,20150918,2
8,20150921,2
8,20150922,2
8,20150923,2
8,20150924,2
8,20150925,2
8,20150928,2
8,20150929,2
8,20150930,2
9,20150928,2
9,20151001,2
9,20151002,2
9,20151005,2
9,20151006,2
9,20151007,2
9,20151008,2
9,20151009,2
9,20151012,2
9,20151013,2
9,20151014,2
9,20151015,2
9,20151016,2
9,20151019,2
9,20151020,2
9,20151021,2
9,20151022,2
9,20151023,2
9,20151026,2
9,20151027,2
9,20151028,2
9,20151029,2
9,20151030,2
9,20151102,2
9,20151103,2
9,20151104,2
9,20151105,2
9,20151106,2
9,20151109,2
9,20151110,2
9,20151111,2
9,20151112,2
9,20151113,2
9,20151116,2
9,20151117,2
9,20151118,2
9,20151119,2
9,20151120,2
9,20151123,2
9,20151124,2
9,20151125,2
9,20151126,2
9,20151127,2
9,20151130,2
9,20151201,2
9,20151202,2
9,20151203,2
9,20151204,2
13,20150929,1
13,20150930,1
13,20151001,1
13,20151002,1
13,20151005,1
13,20151006,1
13,20151007,1
13,20151008,1
13,20151009,1
15,20150928,2
15,20150929,2
15,20150930,2
15,20151001,2
15,20151002,2
15,20151005,2
15,20151006,2
15,20151007,2
15,20151008,2
15,20151009,2
19,20150930,2
19,20151007,2
20,20150928,1
21,20150928,1
28,20150907,1
28,20150908,1
28,20150909,1
28,20150910,1
28,20150911,1
28,20150914,1
28,20150915,1
28,20150916,1
28,20150917,1
28,20150918,1
28,20150921,1
28,20150922,1
28,20150923,1
28,20150924,1
28,20150925,1
28,20151005,1
28,20151006,1
28,20151007,1
28,20151008,1
28,20151009,1
28,20151012,1
28,20151013,1
28,20151014,1
28,20151015,1
28,20151016,1
28,20151019,1
28,20151020,1
28,20151021,1
28,20151022,1
28,20151023,1
28,20151026,1
28,20151027,1
28,20151028,1
28,20151029,1
28,20151030,1
28,20151102,1
28,20151103,1
28,20151104,1
28,20151105,1
28,20151106,1
28,20151109,1
28,20151110,1
28,20151111,1
28,20151112,1
28,20151113,1
28,20151116,1
28,20151117,1
28,20151118,1
28,20151119,1
28,20151120,1
28,20151123,1
28,20151124,1
28,20151125,1
28,20151126,1
28,20151127,1
29,20150907,1
29,20150908,1
29,20150909,1
29,20150910,1
29,20150911,1
29,20150914,1
29,20150915,1
29,20150916,1
29,20150917,1
29,20150918,1
29,20150921,1
29,20150922,1
29,20150923,1
29,20150924,1
29,20150925,1
29,20151005,1
29,20151006,1
29,20151007,1
29,20151008,1
29,20151009,1
29,20151012,1
29,20151013,1
29,20151014,1
29,20151015,1
29,20151016,1
29,20151019,1
29,20151020,1
29,20151021,1
29,20151022,1
29,20151023,1
29,20151026,1
29,20151027,1
29,20151028,1
29,20151029,1
29,20151030,1
29,20151102,1
29,20151103,1
29,20151104,1
29,20151105,1
29,20151106,1
29,20151109,1
29,20151110,1
29,20151111,1
29,20151112,1
29,20151113,1
29,20151116,1
29,20151117,1
29,20151118,1
29,20151119,1
29,20151120,1
32,20150928,2
33,20150928,1
34,20150929,2
34,20151006,2
35,20151001,2
35,20151008,2
36,20151002,2
36,20151009,2
37,20150928,2
37,20151005,2
38,20150928,2
38,20150929,2
38,20150930,2
38,20151001,2
38,20151005,2
38,20151006,2
38,20151007,2
38,20151008,2
39,20150929,2
39,20150930,2
39,20151001,2
39,20151002,2
39,20151006,2
39,20151007,2
39,20151008,2
39,20151009,2
40,20150928,2
40,20150929,2
40,20150930,2
40,20151002,2
40,20151005,2
40,20151006,2
40,20151007,2
40,20151009,2
41,20150928,2
41,20150930,2
41,20151001,2
41,20151002,2
41,20151005,2
41,20151007,2
41,20151008,2
41,20151009,2
42,20150928,2
42,20150929,2
42,20151001,2
42,20151002,2
42,20151005,2
42,20151006,2
42,20151008,2
42,20151009,2
43,20150928,2
43,20151002,1
43,20151009,1
44,20151005,1
45,20150928,2
45,20151001,1
45,20151008,1
46,20150928,2
46,20150929,1
46,20151006,1
47,20150928,2
47,20150930,1
47,20151007,1
48,20150926,2
48,20151003,2
49,20150926,1
50,20150928,2
50,20150929,2
50,20150930,2
