route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
1801,32,324155,1,Hillman,23164
1801,32,324156,1,Hillman,23164
1801,32,324158,1,Hillman,23164
1801,32,324159,1,Hillman,23164
1801,32,324161,1,Hillman,23164
1801,32,324162,1,Hillman,23164
1801,32,324163,1,Hillman,23164
1801,32,324164,1,Hillman,23164
1801,32,324165,1,Hillman,23164
1801,32,324166,1,Hillman,23164
1801,32,324167,1,Hillman,23164
1801,32,324168,1,Hillman,23164
1801,32,324169,1,Hillman,23164
1801,32,324170,1,Hillman,23164
1801,32,324171,1,Hillman,23164
1801,32,324172,1,Hillman,23164
1801,32,324173,1,Hillman,23164
1801,32,324174,1,Hillman,23164
1801,32,324175,1,Hillman,23164
1797,32,324176,1,East Rockingham,23165
1797,32,324177,1,East Rockingham,23165
1797,32,324178,1,East Rockingham,23165
1797,32,324179,1,East Rockingham,23165
1797,32,324180,1,East Rockingham,23165
1797,32,324181,1,East Rockingham,23165
1797,32,324182,1,East Rockingham,23165
1797,32,324183,1,East Rockingham,23165
1797,32,324184,1,East Rockingham,23165
1797,32,324185,1,East Rockingham,23165
1797,32,324186,1,East Rockingham,23165
1797,32,324187,1,East Rockingham,23165
1797,32,324188,1,East Rockingham,23165
1797,32,324189,1,East Rockingham,23165
1797,32,324190,1,East Rockingham,23165
1797,32,324191,1,East Rockingham,23165
1797,13,324193,1,East Rockingham,23165
1800,32,324194,1,Safety Bay,23166
1800,32,324195,1,Safety Bay,23166
1800,32,324196,1,Safety Bay,23166
1800,32,324197,1,Safety Bay,23166
1800,32,324198,1,Safety Bay,23166
1800,32,324199,1,Safety Bay,23166
1800,32,324200,1,Safety Bay,23166
1800,32,324201,1,Safety Bay,23166
1800,32,324202,1,Safety Bay,23166
1800,32,324203,1,Safety Bay,23166
1800,32,324204,1,Safety Bay,23166
1800,32,324205,1,Safety Bay,23166
1800,32,324206,1,Safety Bay,23166
1800,32,324207,1,Safety Bay,23166
1800,32,324208,1,Safety Bay,23166
1798,32,324310,1,Shoalwater,23171
1798,32,324312,1,Shoalwater,23171
1798,32,324314,1,Shoalwater,23171
1798,32,324469,1,Shoalwater,23180
1798,32,324470,1,Shoalwater,23180
1798,32,324471,1,Shoalwater,23180
1798,32,324472,1,Shoalwater,23180
1798,32,324473,1,Shoalwater,23180
1798,32,324474,1,Shoalwater,23180
1798,32,324475,1,Shoalwater,23180
1798,32,324476,1,Shoalwater,23180
1798,32,324477,1,Shoalwater,23180
1798,32,324478,1,Shoalwater,23180
1798,32,324479,1,Shoalwater,23180
1798,32,324480,1,Shoalwater,23180
1798,32,324481,1,Shoalwater,23180
1798,14,324482,1,Shoalwater,23180
1798,14,324483,1,Shoalwater,23180
1798,14,324484,1,Shoalwater,23180
1798,14,324485,1,Shoalwater,23180
1798,14,324486,1,Shoalwater,23180
1798,14,324487,1,Shoalwater,23180
1798,14,324488,1,Shoalwater,23180
1798,14,324489,1,Shoalwater,23180
1798,14,324490,1,Shoalwater,23180
1798,14,324491,1,Shoalwater,23180
1798,14,324492,1,Shoalwater,23180
1798,14,324493,1,Shoalwater,23180
1798,14,324494,1,Shoalwater,23180
1798,14,324495,1,Shoalwater,23180
1798,14,324496,1,Shoalwater,23180
1798,21,324497,1,Shoalwater,23180
1798,21,324498,1,Shoalwater,23180
1798,21,324499,1,Shoalwater,23180
1798,21,324500,1,Shoalwater,23180
1798,21,324501,1,Shoalwater,23180
1798,21,324502,1,Shoalwater,23180
1798,21,324503,1,Shoalwater,23180
1798,21,324504,1,Shoalwater,23180
1798,21,324505,1,Shoalwater,23180
1798,21,324506,1,Shoalwater,23180
1798,32,324507,1,Shoalwater,23180
1798,32,326430,1,Shoalwater,23180
1798,32,326431,1,Shoalwater,23180
1798,32,326432,1,Shoalwater,23180
1798,32,326433,1,Shoalwater,23180
1800,32,337072,0,Rockingham Stn,24488
1800,32,337073,0,Rockingham Stn,24488
1800,32,337074,0,Rockingham Stn,24488
1800,32,337075,0,Rockingham Stn,24488
1800,32,337076,0,Rockingham Stn,24488
1800,32,337077,0,Rockingham Stn,24488
1800,32,337078,0,Rockingham Stn,24488
1800,32,337079,0,Rockingham Stn,24488
1800,32,337080,0,Rockingham Stn,24488
1800,32,337081,0,Rockingham Stn,24488
1800,32,337082,0,Rockingham Stn,24488
1800,32,337083,0,Rockingham Stn,24488
1800,32,337084,0,Rockingham Stn,24488
1800,32,337085,0,Rockingham Stn,24488
1800,32,337086,0,Rockingham Stn,24488
1800,32,337087,0,Rockingham Stn,24488
1800,32,337088,0,Rockingham Stn,24488
1800,32,337089,0,Rockingham Stn,24488
1800,32,337090,0,Rockingham Stn,24488
1800,32,337091,0,Rockingham Stn,24488
1797,15,337222,1,East Rockingham,24495
1855,32,337652,0,Rockingham Stn,24505
1855,32,337653,0,Rockingham Stn,24505
1855,32,337654,0,Rockingham Stn,24505
1855,32,337655,0,Rockingham Stn,24505
1855,32,337656,0,Rockingham Stn,24505
1855,32,337657,0,Rockingham Stn,24505
1855,32,337658,0,Rockingham Stn,24505
1855,32,337659,0,Rockingham Stn,24505
1855,32,337660,0,Rockingham Stn,24505
1855,32,337661,0,Rockingham Stn,24505
1855,32,337662,0,Rockingham Stn,24505
1855,32,337663,0,Rockingham Stn,24505
1855,14,337664,0,Rockingham Stn,24505
1855,14,337665,0,Rockingham Stn,24505
1855,14,337666,0,Rockingham Stn,24505
1855,14,337667,0,Rockingham Stn,24505
1855,14,337668,0,Rockingham Stn,24505
1855,14,337669,0,Rockingham Stn,24505
1855,14,337670,0,Rockingham Stn,24505
1855,14,337671,0,Rockingham Stn,24505
1855,14,337672,0,Rockingham Stn,24505
1855,14,337673,0,Rockingham Stn,24505
1855,14,337674,0,Rockingham Stn,24505
1855,21,337675,0,Rockingham Stn,24505
1855,21,337676,0,Rockingham Stn,24505
1855,21,337677,0,Rockingham Stn,24505
1855,21,337678,0,Rockingham Stn,24505
1855,21,337679,0,Rockingham Stn,24505
1855,21,337680,0,Rockingham Stn,24505
1855,21,337681,0,Rockingham Stn,24505
1855,21,337682,0,Rockingham Stn,24505
1855,21,337683,0,Rockingham Stn,24505
1855,21,337684,0,Rockingham Stn,24505
1855,32,337685,0,Rockingham Stn,24506
1855,32,337686,0,Rockingham Stn,24506
1855,32,337687,0,Rockingham Stn,24506
1855,32,337688,1,Rockingham General Hospital,24507
1855,32,337689,1,Rockingham General Hospital,24507
1855,32,337690,1,Rockingham General Hospital,24507
1855,32,337691,1,Rockingham General Hospital,24507
1855,32,337692,1,Rockingham General Hospital,24507
1855,32,337693,1,Rockingham General Hospital,24507
1855,32,337694,1,Rockingham General Hospital,24507
1855,32,337695,1,Rockingham General Hospital,24507
1855,32,337696,1,Rockingham General Hospital,24507
1855,32,337697,1,Rockingham General Hospital,24507
1855,32,337698,1,Rockingham General Hospital,24507
1855,32,337699,1,Rockingham General Hospital,24507
1855,32,337700,1,Rockingham General Hospital,24507
1855,32,337701,1,Rockingham General Hospital,24507
1855,14,337702,1,Rockingham General Hospital,24507
1855,14,337703,1,Rockingham General Hospital,24507
1855,14,337704,1,Rockingham General Hospital,24507
1855,14,337705,1,Rockingham General Hospital,24507
1855,14,337706,1,Rockingham General Hospital,24507
1855,14,337707,1,Rockingham General Hospital,24507
1855,14,337708,1,Rockingham General Hospital,24507
1855,14,337709,1,Rockingham General Hospital,24507
1855,14,337710,1,Rockingham General Hospital,24507
1855,14,337711,1,Rockingham General Hospital,24507
1855,14,337712,1,Rockingham General Hospital,24507
1855,21,337713,1,Rockingham General Hospital,24507
1855,21,337714,1,Rockingham General Hospital,24507
1855,21,337715,1,Rockingham General Hospital,24507
1855,21,337716,1,Rockingham General Hospital,24507
1855,21,337717,1,Rockingham General Hospital,24507
1855,21,337718,1,Rockingham General Hospital,24507
1855,21,337719,1,Rockingham General Hospital,24507
1855,21,337720,1,Rockingham General Hospital,24507
1855,21,337721,1,Rockingham General Hospital,24507
1855,21,337722,1,Rockingham General Hospital,24507
1855,32,337723,1,Rockingham General Hospital,24508
1855,32,337724,1,Rockingham General Hospital,24508
1855,32,337725,1,Rockingham General Hospital,24508
1799,32,339255,0,Rockingham Stn,24584
1799,32,339256,0,Rockingham Stn,24584
1799,32,339257,0,Rockingham Stn,24584
1799,32,339258,0,Rockingham Stn,24584
1799,32,339259,0,Rockingham Stn,24584
1799,32,339260,0,Rockingham Stn,24584
1799,32,339261,0,Rockingham Stn,24584
1799,32,339262,0,Rockingham Stn,24584
1799,32,339263,0,Rockingham Stn,24584
1799,32,339264,0,Rockingham Stn,24584
1799,32,339265,0,Rockingham Stn,24584
1799,32,339266,0,Rockingham Stn,24584
1799,32,339267,0,Rockingham Stn,24584
1799,32,339268,0,Rockingham Stn,24584
1799,32,339269,0,Rockingham Stn,24584
1799,32,339270,0,Rockingham Stn,24584
1799,32,339271,0,Rockingham Stn,24584
1799,32,339272,0,Rockingham Stn,24584
1799,32,339273,0,Rockingham Stn,24584
1799,32,339274,0,Rockingham Stn,24584
1799,32,339275,0,Rockingham Stn,24584
1799,32,339276,0,Rockingham Stn,24584
1799,32,339277,0,Rockingham Stn,24584
1799,32,339278,0,Rockingham Stn,24584
1799,14,339279,0,Rockingham Stn,24584
1799,14,339280,0,Rockingham Stn,24584
1799,14,339281,0,Rockingham Stn,24584
1799,14,339282,0,Rockingham Stn,24584
1799,14,339283,0,Rockingham Stn,24584
1799,14,339284,0,Rockingham Stn,24584
1799,14,339285,0,Rockingham Stn,24584
1799,14,339286,0,Rockingham Stn,24584
1799,14,339287,0,Rockingham Stn,24584
1799,14,339288,0,Rockingham Stn,24584
1799,14,339289,0,Rockingham Stn,24584
1799,14,339290,0,Rockingham Stn,24584
1799,14,339291,0,Rockingham Stn,24584
1799,14,339292,0,Rockingham Stn,24584
1799,14,339293,0,Rockingham Stn,24584
1799,21,339294,0,Rockingham Stn,24584
1799,21,339295,0,Rockingham Stn,24584
1799,21,339296,0,Rockingham Stn,24584
1799,21,339297,0,Rockingham Stn,24584
1799,21,339298,0,Rockingham Stn,24584
1799,21,339299,0,Rockingham Stn,24584
1799,21,339300,0,Rockingham Stn,24584
1799,21,339301,0,Rockingham Stn,24584
1799,21,339302,0,Rockingham Stn,24584
1799,21,339303,0,Rockingham Stn,24584
1799,13,339304,0,Rockingham Stn,24584
1799,15,339305,0,Rockingham Stn,24585
1878,21,339839,1,Rockingham Beach,24628
1878,21,339840,1,Rockingham Beach,24628
1878,21,339841,1,Rockingham Beach,24628
1878,21,339842,1,Rockingham Beach,24628
1878,21,339843,1,Rockingham Beach,24628
1878,21,339844,1,Rockingham Beach,24628
1878,21,339845,1,Rockingham Beach,24628
1878,21,339846,1,Rockingham Beach,24628
1878,21,339847,1,Rockingham Beach,24628
1878,21,339848,1,Rockingham Beach,24628
1878,21,339849,1,Rockingham Beach,24628
1878,21,339850,1,Rockingham Beach,24628
1878,21,339851,1,Rockingham Beach,24628
1878,21,339852,1,Rockingham Beach,24628
1878,21,339853,1,Rockingham Beach,24628
1878,21,339854,1,Rockingham Beach,24628
1878,21,339855,1,Rockingham Beach,24628
1878,21,339856,1,Rockingham Beach,24628
1878,21,339857,1,Rockingham Beach,24628
1878,21,339858,1,Rockingham Beach,24628
1878,21,339859,1,Rockingham Beach,24628
1878,21,339860,1,Rockingham Beach,24628
1878,21,339861,1,Rockingham Beach,24628
1878,32,339862,1,Rockingham Beach,24628
1878,32,339863,1,Rockingham Beach,24628
1878,32,339864,1,Rockingham Beach,24628
1878,32,339865,1,Rockingham Beach,24628
1878,32,339866,1,Rockingham Beach,24628
